ID_EMPDv2,source,site_name,entity_name,latitude,longitude,elevation,basin_size,site_type,entity_type,age_BP,ID_BIOME,publication,DOI,Abies,Acer,Acer turkestanica,Achillea type,Aconitum,Aesculus,Aethusa cynapium type,Alchemilla type,Allium type,Alnus alnobetula,Alnus glutinosa type,Amaranthaceae,Ambrosia type,Amorpha fruticosa,Anemone hortensis,Anemone nemorosa type,Anthemis type,Anthericum,Anthericum type,Anthriscus sylvestris type,Apiaceae,Apium inundatum type,Apium type,Arbutus type,Arceuthobium,Artemisia,Aruncus type,Asplenium type,Asteroideae,Astragalus type,Athyrium filix-femina,Berula erecta,Betula,Bidens type,Bistorta type,Boraginaceae,Botrychium,Brassicaceae,Bupleurum type,Buxus,Calluna vulgaris,Campanula,Campanulaceae,Carduus type,Carlina,Carpinus,Caryophyllaceae,Castanea sativa,Cedrus,Celtis,Centaurea montana type,Centaurea nigra type,Centaurea solstitialis,Centaurium,Cerastium cerastioides type,Cerastium fontanum type,Chaerophyllum hirsutum type,Chamaerops humilis,Cichorioideae,Cirsium,Cirsium type,Cistus crispus type,Cistus salviifolius,Citrus,Clematis type,Conium type,Convolvulus,Cornus mas,Cornus sanguinea,Corylus avellana,Cousinia type,Crassula,Cryptogramma crispa,Cryptomeria type,Cuscuta,Cyperaceae,Cystopteris fragilis,Daucus type,Dianthus type,Dipsacaceae,Dryopteris filix-mas type,Echium,Elaeagnus,Elaeagnus type,Empetrum type,Ephedra distachya type,Ephedra fragilis type,Epilobium,Eremurus,Erica arborea type,Ericaceae,Eryngium,Eryngium type,Eucalyptus,Euphorbia,Fabaceae,Fagus,Fagus sylvatica,Falcaria type,Falcaria vulgaris type,Fallopia convolvulus type,Filipendula,Frangula alnus,Fraxinus excelsior,Fraxinus ornus,Fraxinus sogdiana,Galeopsis type,Gentiana,Gentiana pneumonanthe type,Geranium,Geranium type,Gnaphalium type,Gypsophila repens type,Hedera type,Helianthemum,Helianthemum type,Helleborus viridis,Heracleum type,Hippophae rhamnoides,Hornungia/Sinapis type,Huperzia selago,Hyoscyamus type,Hypericaceae,Hypericum perforatum type,Impatiens type,Juglans,Juglans regia,Juncaceae,Juniperus,Juniperus type,Kalmia procumbens type,Lamiaceae,Larix,Lathyrus type,Ligusticum type,Ligustrum,Liliaceae,Lilium martagon type,Linum austriacum type,Linum type,Liquidambar,Lonicera type,Lotus type,Lythrum,Lythrum salicaria,Matricaria type,Melampyrum,Mentha type,Mercurialis,Mercurialis annua,Minuartia rubra type,Morus alba,Morus alba type,Olea,Onobrychis,Onobrychis type,Ononis type,Ornithopus,Ostrya type,Papaver rhoeas type,Paronychia type,Pedicularis type,Peucedanum type,Phillyrea,Phyteuma,Picea,Picea schrenkiana,Pimpinella major type,Pinus,Pinus (Diploxylon),Pinus (Haploxylon),Pinus cembra,Pinus sylvestris type,Pistacia,Plantago,Plantago alpina type,Plantago coronopus,Plantago coronopus type,Plantago lanceolata type,Plantago maritima type,Plantago media/Plantago major,Plantago media/Plantago major type,Plantago tenuiflora type,Platanus,Plumbaginaceae,Poaceae,Polemonium type,Polygonaceae,Polygonum aviculare,Polygonum aviculare type,Polygonum viviparum,Polypodiales,Polypodium vulgare type,Populus,Potentilla type,Primula farinosa,Primula veris type,Prunus type,Pteridium aquilinum,Pulmonaria type,Pulsatilla,Quercus cerris type,Quercus ilex type,Quercus pubescens type,Quercus robur/Quercus pubescens type,Ranunculaceae,Ranunculus acris type,Ranunculus arvensis type,Ranunculus reniformis type,Reseda type,Rhamnus cathartica,Rhamnus type,Rhinanthus type,Rhus type,Robinia pseudoacacia,Roemeria type,Rosa type,Rosaceae,Rubiaceae,Rumex acetosa type,Rumex acetosella,Rumex acetosella type,Rumex obtusifolius type,Ruta type,Sagina,Salix,Salsola kali type,Sambucus,Sanguisorba minor ssp minor,Sanguisorba minor type,Sanguisorba officinalis,Saussurea type,Saxifraga oppositifolia type,Saxifraga tridactylites type,Scabiosa type,Scrophulariaceae,Sedum,Senecio type,Silene dioica type,Silene vulgaris type,Sium type,Smyrnium type,Solanum dulcamara,Solanum nigrum type,Soldanella,Sorbus type,Sorbus/Rubus type,Symphytum,Tamarix,Taxus,Teucrium type,Thalictrum,Thalictrum type,Thesium humifusum,Tilia,Trachycarpus fortunei,Trifolium pratense type,Trifolium repens type,Trifolium type,Trinia glauca type,Trollius,Tsuga,Ulex type,Ulmus,Urtica dioica type,Urtica membranacea type,Urtica pilulifera,Urtica urens,Vaccinium type,Valeriana dioica type,Valeriana officinalis type,Veronica type,Viburnum lantana,Vicia type,Viscum,Xanthium type
3956,EMPD2,Gorgo basso,EPDcoretop_E2366,37.6,12.65,6,0.03,lake,core_top,32,13,"Calò, C., P.D. Henne, B. Curry, M. Magny, E. Vescovi, T. La Mantia, S. Pasta, B. Vannière, and W. Tinner. 2012. Spatio-temporal patterns of Holocene environmental change in southern Sicily. Palaeogeography, Palaeoclimatology, Palaeoecology, 323-325:110-112.",,,,,,,,,,,,,6,,,,,1,1,,,,,1,,,3,,,,28,,,,3,,,,24,,,,,,,1,,,,,,,,,,,,1,,1,,,,,1,,,,,,1,,,,,3,34,,,,,,5,,,,,,,,1,,1,,8,,5,,1,5,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,1,,10,,,,,,,1,,,,,,,1,,,,6,,4,,,,14,1,,,1,,,2,,2,,,,,,,1,1,,,25,,,,1,4,1,,,,,,73,,,,,,,,,,,,,,,,,12,1,,,,,,3,,,,,,,,,1,,8,,,,,1,,,,,,,,1,,,,,,,,3,,,,,,,1,,,1,,,,1,,4,,,,,,,2,1,,,,,,,,,,
4184,EMPD2,Lago dell Accesa,Finsinger_a1,42.9882170028838,10.895635820092,143,,,sediment,-55,4,"Finsinger W, Heiri O, Valsecchi V, et al (2007) Modern pollen assemblages as climate indicators in southern Europe. Global Ecology and Biogeography 16:567-582",10.1111/j.1466-8238.2007.00313.x,,2,,2,,,,,,,4,5,,,,,,,,,,,,,,2,,1,1,,,,,,,,,2,,,,,,,,1,,4,,,,,,,,,,,1,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,1,,,12,,,,,,,2,,,,1,,,3,9,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,2,,,,,14,,,,,10,,,,,12,,,,,,,,,27,3,,,,,5,,,,,,,36,,,,,,,,1,,,,,,,,51,78,,6,,,,,,,,,,,,,,,1,,,,,1,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,1,6,,,2,,,
4185,EMPD2,Lago Albano,Finsinger_a2,41.7484233022717,12.6696680668051,293,,,sediment,-55,4,"Finsinger W, Heiri O, Valsecchi V, et al (2007) Modern pollen assemblages as climate indicators in southern Europe. Global Ecology and Biogeography 16:567-582",10.1111/j.1466-8238.2007.00313.x,,,,,,,,,,,12,7,,,,,,,,,,,,,,4,,,3,,,,,,,,,3,,1,,,,,,2,,34,3,,,,,,,,2,,2,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,3,,,4,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,2,,,34,,,,,,,,,,,,,,1,,,,,,2,,,,,22,,,,,19,,,,,4,,,,,,,,,33,3,,,,,3,,,,,,,47,,,1,,,,1,,,,,,,,,39,38,,2,,,,,,,,,,,,,,,2,,,,,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,1,,,,,6,4,,,,,,
4186,EMPD2,Lago di Alice Superiore,Finsinger_a3,45.462496431533,7.79597435174097,573,,,sediment,-55,13,"Finsinger W, Heiri O, Valsecchi V, et al (2007) Modern pollen assemblages as climate indicators in southern Europe. Global Ecology and Biogeography 16:567-582",10.1111/j.1466-8238.2007.00313.x,2,1,,,,,,,,2,109,,2,,,,,,,,,,,,,3,,,,,,,20,,,,,,,,,,,,,1,,47,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,14,,,,,,,,,,,,,,,,,,,,,,3,,,7,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,1,,,,,,1,12,1,,,,,5,,1,,,2,,33,,,,,,,5,3,,,,,,,,3,2,,22,,,,,,,1,,,,,,,,1,,,,,5,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,1,,,,,,6,,,,,,
4187,EMPD2,Lago di Alserio,Finsinger_a4,45.7866257143131,9.21469351246119,260,,,sediment,-55,13,"Finsinger W, Heiri O, Valsecchi V, et al (2007) Modern pollen assemblages as climate indicators in southern Europe. Global Ecology and Biogeography 16:567-582",10.1111/j.1466-8238.2007.00313.x,,,,,,,,,,5,47,2,,,,,,,,,,,,,,3,,1,1,,,,18,,,,,,,,,,,,,1,,25,8,,,,,,,,,1,1,,,,,,,,,,,25,,,,,,,,,,,,,,,,,1,,,,,,,,,,6,,,,,4,,13,2,,,,,,,,,1,,,,,,,,,,,,2,,,27,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,61,,,,,,,2,,,,,,,10,,,,,,8,,,,,13,,59,,,,,,,,8,,,,1,,,,,3,,39,,,,,,,,,,1,,,,,1,,,,,5,5,,3,,,,,,,,,3,,,,,,,,,,,1,,11,,,,,,,,,,,,,,1,,,,,,5,,,,2,,
4188,EMPD2,Lago dell Aquilente,Finsinger_a5,42.2932151070587,13.1292840973372,1164,,,sediment,-55,13,"Finsinger W, Heiri O, Valsecchi V, et al (2007) Modern pollen assemblages as climate indicators in southern Europe. Global Ecology and Biogeography 16:567-582",10.1111/j.1466-8238.2007.00313.x,,1,,6,,,,,,,5,1,1,,,1,,,,,,,,,,5,,,5,,,,1,,,,,1,,,,1,,,,,6,5,,,,,,,,7,,,17,1,,,,,,,,,,17,,,1,,,,,,,,,,,,,,,,,,,,,,,,22,,,1,,,,,5,,,,,,,,,1,1,,,,,,,,,,,,,,31,,,,,,,1,,,1,,,,,,,,,,,,,,,4,,,,,24,,,,,2,,,,,,,,,12,,,,,,11,,1,,,1,,117,,,1,,,,2,3,,,,,,,,30,12,,14,,,,,,,,2,,,,,,,2,,,,,3,1,,,,,,,,,,,4,1,,1,,,,,,,,,,,,,,2,,,,,,2,,,,4,,,,,,,,,,,,
4189,EMPD2,Lago Grande di Avigliana,Finsinger_a6,45.0663150255289,7.3874614536924,350,,,sediment,-55,13,"Finsinger W, Heiri O, Valsecchi V, et al (2007) Modern pollen assemblages as climate indicators in southern Europe. Global Ecology and Biogeography 16:567-582",10.1111/j.1466-8238.2007.00313.x,1,,,,,,,,,1,43,5,3,,,,,,,,,,,,,4,,1,,,,,19,,,,,5,,,,,,,,3,,50,7,,,,,,,,,,2,1,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,2,,,,,,6,,,,,,1,39,1,,,,,,,,,1,,,,,,,,,,,,3,,,20,,,,6,,,,,,,,,,,,,,,2,,,,2,,1,,,,,8,,,,,,,2,,,,,,,44,,,,,,3,,2,,,6,,70,,,,,,,1,12,,,,,,,,,4,,47,,,,,,,,,,,,,,,1,,5,,,,16,,6,,,,,,,,,1,1,,,,,,,,1,,,,4,,,,,,,,,,,,,,3,,,,,,19,,,,,,
4190,EMPD2,Lago di Ballone,Finsinger_a7,44.464280767136,10.1093277734358,760,,,sediment,-55,13,"Finsinger W, Heiri O, Valsecchi V, et al (2007) Modern pollen assemblages as climate indicators in southern Europe. Global Ecology and Biogeography 16:567-582",10.1111/j.1466-8238.2007.00313.x,1,,,,,,,,,,9,2,,,,3,,,,,,,,,,4,,1,2,,,,1,,,,,1,,,,,,,,1,,15,,,,,,,,,,,11,,,,,,5,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,,,8,,,,,,,,,1,1,,,,,,,,,,,2,,,6,,,,,,,,,,1,,,,,,,,,,,,,,,2,,1,,,59,,,,,,,2,,,,,,,19,,,,,,7,,1,,,1,,62,,,,,,,,35,,1,,,,,,23,2,,3,,,,,,,,2,,,,,,,,,,,,3,49,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,2,,,,,,
4191,EMPD2,Biviere Cesaro,Finsinger_a8,37.9530590364065,14.7159016664793,1282,,,sediment,-55,4,"Finsinger W, Heiri O, Valsecchi V, et al (2007) Modern pollen assemblages as climate indicators in southern Europe. Global Ecology and Biogeography 16:567-582",10.1111/j.1466-8238.2007.00313.x,,,,6,,,,,,,4,3,,,,,,,,,,,,,,,,,4,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,1,,14,,,,,,1,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,52,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,5,,,,,12,,,,,,,,,3,1,,,42,,7,,,,,,,130,,,,,,,4,,,,,,,,,40,5,,1,,,,,,,,1,,,,,,,1,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,,,3,,,1,2,4,4,,,,,,
4192,EMPD2,Lago di Bertignano,Finsinger_a9,45.4323373303783,8.06234030595079,375,,,sediment,-55,13,"Finsinger W, Heiri O, Valsecchi V, et al (2007) Modern pollen assemblages as climate indicators in southern Europe. Global Ecology and Biogeography 16:567-582",10.1111/j.1466-8238.2007.00313.x,,,,,,,,,,1,15,,5,,,,,,,,,,,,,4,,,2,,,,7,,,,,,,,,,,,,1,,48,2,,,,,,,,,,1,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,6,,,,,,3,,,,,3,,47,,,,,,,4,5,,,,,,,,2,1,,22,,,,,,,,,,1,,,,,,,,,,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,3,,,,,,14,,,,,,
4193,EMPD2,Lago di Bolsena,Finsinger_a10,42.6002616247117,11.9342283081117,305,,,sediment,-55,4,"Finsinger W, Heiri O, Valsecchi V, et al (2007) Modern pollen assemblages as climate indicators in southern Europe. Global Ecology and Biogeography 16:567-582",10.1111/j.1466-8238.2007.00313.x,,,,,,,,,,,10,8,1,,,,,,,,,,,,,5,,,1,,,,3,,,,,6,,,,,,,,2,1,8,,,,,,,,,,,2,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,1,,,,,,1,,,,,24,,,,,5,,,,,5,,,,,,,,,28,2,,,,,5,,,,,,,71,,,1,,,,2,2,,,,,,,,82,17,,15,,,,,,,,,,,,,,,1,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,5,,,,,5,2,,,,,,
4194,EMPD2,Lago di Bracciano,Finsinger_a11,42.1220814712807,12.2303133616996,164,,,sediment,-55,4,"Finsinger W, Heiri O, Valsecchi V, et al (2007) Modern pollen assemblages as climate indicators in southern Europe. Global Ecology and Biogeography 16:567-582",10.1111/j.1466-8238.2007.00313.x,,,,,,,,,,,18,3,1,,,,,,,,,,,1,,1,,,1,,,,2,,,,,5,,,,,,,,2,,4,,2,,1,,,,,,,1,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,1,,,,,7,,,,,14,,,,,6,,2,,,,,,,32,2,,,,,8,,1,,,4,,76,,,,,,,2,,,,,,,,,59,17,,9,,,,,,,,,,1,,,,,,,,,,2,4,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,4,,,,,,,,,,,,,,2,3,2,,,,,,
4196,EMPD2,Lago Calamone,Finsinger_a13,44.382168373328,10.2819703504233,1385,,,sediment,-55,13,"Finsinger W, Heiri O, Valsecchi V, et al (2007) Modern pollen assemblages as climate indicators in southern Europe. Global Ecology and Biogeography 16:567-582",10.1111/j.1466-8238.2007.00313.x,,1,,1,,,,1,,2,6,2,,,,,,,,,,,,,,4,,,2,,,,,,,,,2,,,,,,,,2,1,9,1,,,,,,,,,,2,,,,,,1,,,,,13,,,,,,,,,,,,1,,,,,,,,,,,,,,,32,,,,,4,,1,5,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,42,,,,1,,,1,,,,,,,21,1,,,,,,,1,,,1,,69,,,,,,,15,,,,,,,,,26,2,,6,,,,,,,,,,,,,,,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,3,,,1,,,
4197,EMPD2,Lago Campagna,Finsinger_a14,45.4844411934367,7.89945060655614,236,,,sediment,-55,13,"Finsinger W, Heiri O, Valsecchi V, et al (2007) Modern pollen assemblages as climate indicators in southern Europe. Global Ecology and Biogeography 16:567-582",10.1111/j.1466-8238.2007.00313.x,,,,,,,,,,3,53,1,2,,,1,,,,,,,,,,1,,,1,,1,,14,,,,,2,,,2,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,14,1,,,,,,,,,3,,,,,,,,,,,,3,,,7,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,6,,,,,,,2,,,,,,3,18,,,,,,,,,,,3,,33,,,1,,,,6,6,,,,1,,,,1,2,,28,,,,,,,,,,,,,,,,,2,,,8,19,,5,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,4,,,,,,23,,,,,,
4198,EMPD2,Lago di Candia,Finsinger_a15,45.3245480476282,7.91041149497752,226.5,,,sediment,-55,13,"Finsinger W, Heiri O, Valsecchi V, et al (2007) Modern pollen assemblages as climate indicators in southern Europe. Global Ecology and Biogeography 16:567-582",10.1111/j.1466-8238.2007.00313.x,,,,,,,,,,2,29,5,1,,,,,,,,,,,,,4,,4,1,,,,12,,,,,,,,,,,,,2,,1,1,,,,,,,,,,1,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,,8,,,9,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,23,1,,1,,,3,,,,,3,,74,,,,,,,1,,,,,,,,,17,1,,16,,,,,,,,,,,,,,,1,,,,,6,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,1,10,,,,,,
4199,EMPD2,Lago di Caselette,Finsinger_a16,45.1172383908716,7.49086594010446,370,,,sediment,-55,13,"Finsinger W, Heiri O, Valsecchi V, et al (2007) Modern pollen assemblages as climate indicators in southern Europe. Global Ecology and Biogeography 16:567-582",10.1111/j.1466-8238.2007.00313.x,2,,,,,,,,,4,22,4,,,,,,,,1,,,,,,8,,,4,,,,6,,,,,,,,1,,,,,2,,22,2,,,,,,,,,,3,,,,,,,,,,,14,,,,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,4,34,,,,,,6,,,,,,,160,,,,,,,4,2,,,,,,,,6,2,,68,,,,,,,,4,,,,,,,2,,,,,4,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,6,,,,,,8,,,,,,
4200,EMPD2,Lago di Comabbio,Finsinger_a17,45.7643534118201,8.69268401368483,243,,,sediment,-55,13,"Finsinger W, Heiri O, Valsecchi V, et al (2007) Modern pollen assemblages as climate indicators in southern Europe. Global Ecology and Biogeography 16:567-582",10.1111/j.1466-8238.2007.00313.x,,,,,,,,,,3,60,,2,,,,,,,,,,,,,4,,3,1,,1,,10,,,,,,,1,1,,,,,,,33,4,,,,,,,,1,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,1,,5,7,,,,,,,,,,,,1,,,,,,,1,,2,,,16,,,,,,,,,,,,,,2,,,,,,,,,,,5,,,,,6,,,,,,,4,,,,,,16,39,,,1,,,2,,,,,5,,59,,,,,,,7,1,,,,1,,,,1,,,35,,,,,,,1,,,,,,,,,,,,,9,3,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,6,,,,,,
4201,EMPD2,Lago di Fibreno,Finsinger_a18,41.7010842586896,13.6862665799491,288,,,sediment,-55,4,"Finsinger W, Heiri O, Valsecchi V, et al (2007) Modern pollen assemblages as climate indicators in southern Europe. Global Ecology and Biogeography 16:567-582",10.1111/j.1466-8238.2007.00313.x,,,,,,,,,,,1,4,,,,,,,,,,2,,,,2,,2,,,,,1,,,,,6,,1,,1,,,,,,12,,,,,,,,1,2,,7,2,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,2,6,,,,,,,,,,,,,,,,,,,,,5,,,16,,,,,,,1,,,,,,,1,,,,,,,,,,,12,,,,,19,,,,,3,,,,,,,,,8,1,,,,,3,,,,,1,,48,,,,,,,1,4,,,4,,,,2,52,7,,14,,1,,,,,,2,,,,,,,2,,,,,2,5,,1,,,,,,,,,,,1,,,,,1,1,,,,,,,,,1,,,,,,,10,,,1,,,,,,20,,,,,,
4202,EMPD2,Lago di Fraturno,Finsinger_a19,42.0791689995319,12.9423268082854,720,,,sediment,-55,13,"Finsinger W, Heiri O, Valsecchi V, et al (2007) Modern pollen assemblages as climate indicators in southern Europe. Global Ecology and Biogeography 16:567-582",10.1111/j.1466-8238.2007.00313.x,,,,1,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,,1,,,,,1,,,1,,,,,1,,8,,,,,,,,,,,5,,,,,,,,,,,33,,,,,,,,,,,,1,,,,,1,,,,2,,,,,,3,,,,,1,,1,16,,,,,,,,,,,,,,,,,,,,,2,,,20,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,75,,,,,1,,,,,,,,,18,2,,,,,4,,2,,,,,63,,,1,,,,2,27,,1,,,,,,43,19,,59,,,,,,,2,1,1,,,,,,,,,,,5,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,2,5,,,,,,5,,,,,,
4203,EMPD2,Lago di Ganna,Finsinger_a20,45.8976915789821,8.82626725666381,452,,,sediment,-55,13,"Finsinger W, Heiri O, Valsecchi V, et al (2007) Modern pollen assemblages as climate indicators in southern Europe. Global Ecology and Biogeography 16:567-582",10.1111/j.1466-8238.2007.00313.x,2,,,,,,,,,1,76,,1,,,1,,,,,,,,,,4,,,1,,,,5,,,,,,,,2,,,,,3,,29,2,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,3,,14,,,,,,,,,,,,,,,,,,,,,,2,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,,1,,5,,,,,,4,19,,,,,,4,,1,,,5,,45,,,,,,,4,2,,,,,,,,6,1,,11,,,,,,,1,1,,,,,,,1,,,,,1,8,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,1,,,,
4204,EMPD2,Lago Gemini inferiore,Finsinger_a21,44.3858083829471,10.0499384277162,1339,,,sediment,-55,13,"Finsinger W, Heiri O, Valsecchi V, et al (2007) Modern pollen assemblages as climate indicators in southern Europe. Global Ecology and Biogeography 16:567-582",10.1111/j.1466-8238.2007.00313.x,10,,,1,,,,,,1,19,4,,,,,,,,,,,,,,5,,,1,,,,6,,,,,2,,,6,,,,,2,,16,1,,,,,,,,1,,7,,,,,,,,,,,19,,,,,,,,,,,,,1,,,,,,,,,,,,,,127,,,,,1,,3,5,,,,,,,,,,,,,,,,1,,,,,,,,10,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,33,,,,,,,1,,,,,,,52,,,,,,5,,,,,1,,53,,,,,,,59,,,2,,,1,,,9,4,,25,,,,,,,,2,,,,,,,1,,,,,10,5,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,1,1,,,,,,,,,4,,,,,,4,,,,,,
